5.0883,11.17,11.156,5.0119
5.1034,11.097,11.017,4.9995
5.2036,11.062,10.945,4.909
5.2425,10.935,10.812,4.8812
5.3185,10.874,10.691,4.8065
5.374,10.788,10.605,4.7856
5.4248,10.806,10.501,4.8033
5.4227,10.712,10.403,4.7415
5.4863,10.632,10.194,4.7722
5.5729,10.585,10.171,4.6704
5.6571,10.514,10.036,4.7362
5.7339,10.463,9.9647,4.6726
5.7751,10.393,9.8089,4.6731
5.8835,10.351,9.6946,4.6887
5.9417,10.273,9.6172,4.6065
6.0364,10.262,9.4503,4.6107
6.0636,10.128,9.3678,4.61
6.115,10.06,9.2986,4.6367
6.1661,10.006,9.1564,4.6415
6.2909,9.9467,9.074,4.5718
6.3829,9.9275,8.9538,4.5843
6.4236,9.8795,8.829,4.6098
6.4675,9.8198,8.6856,4.5895
6.5632,9.8091,8.618,4.6485
6.6309,9.7461,8.4502,4.6451
6.7235,9.712,8.395,4.6467
6.8202,9.6806,8.289,4.6702
6.9104,9.6381,8.1864,4.7625
6.9857,9.5146,8.093,4.7647
7.1105,9.4649,7.9927,4.7715
7.1586,9.4774,7.8619,4.8458
7.2856,9.3749,7.7337,4.7972
7.3401,9.377,7.6589,4.8959
7.4579,9.3375,7.5146,4.9317
7.4726,9.3317,7.3488,4.9532
7.6032,9.2563,7.2498,4.9565
7.652,9.2106,7.2145,5.0409
7.7785,9.203,7.0673,5.0563
7.8695,9.1758,6.9939,5.0869
7.896,9.1206,6.8209,5.1438
8.0045,9.0716,6.7458,5.2629
8.0916,9.0212,6.6442,5.2332
8.2267,9.0355,6.475,5.3048
8.3355,8.975,6.4239,5.3421
8.3771,8.9264,6.2893,5.4387
8.5128,8.9718,6.1486,5.4552
8.5947,8.8963,6.0833,5.6045
8.6207,8.8933,5.9442,5.5969
8.7735,8.8961,5.828,5.6504
8.8456,8.8429,5.7269,5.7371
8.9926,8.8615,5.6117,5.8186
8.9954,8.8096,5.5067,5.851
9.1363,8.8221,5.3828,6.0095
9.2275,8.8091,5.3328,6.0136
9.3265,8.7692,5.1882,6.0816
9.4531,8.7146,5.1046,6.1308
9.5043,8.7348,5.0111,6.2281
9.6468,8.7345,4.8823,6.2778
9.712,8.7109,4.7768,6.3995
9.7652,8.6967,4.6586,6.5019
9.8763,8.7537,4.5174,6.5666
10.028,8.7104,4.445,6.5911
10.101,8.7535,4.3722,6.6697
10.167,8.7025,4.2652,6.8197
10.284,8.7404,4.0959,6.9137
10.409,8.7046,3.9808,6.9585
10.466,8.7486,3.9075,6.9988
10.619,8.7475,3.8062,7.1539
10.669,8.7154,3.675,7.1893
10.835,8.7062,3.5452,7.2697
10.87,8.772,3.5106,7.4005
11.019,8.7977,3.3154,7.413
11.061,8.7466,3.2092,7.5036
11.171,8.7935,3.1043,7.6529
11.251,8.784,2.9984,7.7344
11.4,8.8387,2.9355,7.8151
11.512,8.8488,2.8226,7.9245
11.598,8.8065,2.6623,8.0118
11.687,8.8952,2.6422,8.1092
11.81,8.9285,2.5142,8.1504
11.912,8.9028,2.4075,8.2818
12.016,8.9629,2.2326,8.3596
12.113,8.9577,2.2051,8.4355
12.246,8.9401,2.1055,8.4943
12.274,8.9716,2.0039,8.6588
12.426,9.0205,1.885,8.7077
12.48,9.0842,1.7718,8.8282
12.571,9.1226,1.6393,8.9354
12.722,9.1509,1.501,8.9659
12.808,9.1369,1.4192,9.0628
12.912,9.1928,1.2897,9.1998
13.035,9.1839,1.1777,9.2886
13.148,9.2228,1.1683,9.4247
13.209,9.2631,1.0063,9.5114
13.343,9.3563,0.91025,9.6011
13.422,9.3781,0.82222,9.6292
13.567,9.3888,0.74901,9.7281
13.67,9.4616,0.6878,9.8266
13.715,9.4703,0.55662,9.9948
13.854,9.5055,0.58422,10.107
